League,Week,Date,Time,Team,HA,Oppo,Contest,Type,Number,Bet,Return,Net,Site,Notes
CBB,250318,03/23/25,12:0:0,5% DUKE,HA,BAYLOR,GAME,SPREAD,-11.5
CBB,250318,03/23/25,12:0:0,ALABAMA,HA,ST MARYS,GAME,SPREAD,-5.5
CBB,250318,03/23/25,12:0:0,ALABAMA,HA,STM,GAME,UNDER,148.5
CBB,250318,03/23/25,12:0:0,IOWA STATE,HA,OLE MISS,GAME,SPREAD,-5.5
CBB,250318,03/23/25,12:0:0,MICHIGAN ST,HA,NEW MEXICO,GAME,SPREAD,-6.5
CBB,250318,03/23/25,12:0:0,UCONN,HA,FLORIDA,GAME,SPREAD,+9.5
CBB,250318,03/23/25,12:0:0,KENTUCKY,HA,ILLINOIS,GAME,SPREAD,+1
CBB,250318,03/23/25,12:0:0,5% MARYLAND,HA,COL ST,GAME,SPREAD,-7.5
CBB,250318,03/23/25,12:0:0,$L PARLAY,HA,DUKE & ALABAMA,GAME,SPREAD,+125:
